PROGRESS,CTIME,ID,HASH,COLOR,MODE,FONTSIZE,TEXT
1.725,2023-08-11 19:27:41,1381285489549866240,db0a561e,#FFFFFF,1,25,开幕雷击
1.9,2023-08-04 16:54:14,0,00000000,#FFFFFF,1,25,开幕雷击
1.914,2023-08-14 01:30:11,1382917488639431936,9174e1ed,#FFFFFF,1,25,再 放 送
1.985,2023-09-24 09:48:03,1412883878821227264,62ec1e95,#00CD00,5,25,幻影忍者前情提要
2.039,2023-08-11 19:16:22,1381279788811390208,45317592,#FFFFFF,1,25,来看惊世一跪了
2.051,2023-09-26 14:40:59,1414480872140387840,5a32e613,#FFFFFF,1,25,开幕雷击
2.059,2023-08-11 23:58:38,1381421862017378048,0639133d,#FFFFFF,1,25,为什么要演奏春日影！
2.059,2023-09-22 21:01:14,1411773151196574720,d6dec7d5,#FFFFFF,1,25,最害怕的一集
2.073,2023-08-11 19:54:43,1381299088565678592,535aad12,#FFFFFF,1,25,来力来力
2.099,2023-08-13 00:10:13,1382152465029735936,33e6e999,#FFFFFF,1,25,开幕雷击
2.136,2023-09-30 14:09:07,1417363935350666496,66de738d,#E70012,5,25,《前 情 提 要》
2.216,2023-08-11 21:05:23,1381334660441013248,195099ef,#FFFFFF,1,25,迫不及待
2.219,2023-09-27 22:19:49,1415436587071960320,8ae01fea,#FFFFFF,1,25,更喜欢的一集
2.325,2023-08-19 11:47:21,1386852000385484800,d090bedc,#FFFFFF,5,25,再放送
2.542,2023-09-24 22:24:42,1413264712430420736,59596a46,#FFFFFF,1,25,最喜欢的一集
2.619,2023-08-12 01:18:01,1381461819155405312,e0c5904d,#FEF102,5,25,为什么要演奏长河吟？
2.666,2023-08-13 02:54:20,1382235067895835392,86439d38,#E70012,5,25,为什么要演奏春日影
2.702,2023-09-25 00:05:09,1413315272760289792,ce6d2c8c,#FFFFFF,1,25,我，再再再观看
2.705,2023-08-13 01:03:46,1382179420806336768,99528e6a,#E70012,5,25,为什么要演奏春日影！
2.744,2023-08-11 19:26:30,1381284893488648448,9c17f601,#FFFFFF,1,25,来合影名场面
2.767,2023-08-12 14:09:11,1381849957774047232,7a305484,#FFFFFF,5,25,绊爱同款表情
2.777,2023-09-22 23:22:37,1411844309937916928,74c2dd57,#FFFFFF,1,25,不用等
2.819,2023-08-11 20:08:05,1381305823191593728,e2b774e3,#FFFFFF,1,25,攒点弹幕233
2.835,2023-08-14 18:22:01,1383426762909844224,e0f03204,#FFFF00,5,25,开 幕 雷 击
2.896,2023-09-28 12:28:49,1415863902008650496,303fe71f,#FFFFFF,1,25,不用等
2.941,2023-08-12 13:36:37,1381833568497453824,98f86ffb,#FFFFFF,1,25,直奔主题
2.945,2023-08-12 21:18:33,1382066066175493632,3713fa95,#FFFFFF,5,25,最喜欢的一集
2.972,2023-09-25 00:32:29,1413329031906285568,463d3756,#FFFFFF,1,25,来了来了
2.98,2023-10-01 20:36:40,1418283770251230464,d2148e42,#FFFFFF,1,25,反复品味
3.004,2023-08-11 19:18:04,1381280647184063744,b8ef59d6,#00A0EA,5,25,经典再放送
3.005,2023-08-12 01:43:27,1381474615129459456,b1f816bb,#FFFFFF,1,25,再放送
3.03,2023-08-12 00:34:06,1381439709955281664,759243da,#FFFFFF,1,25,彻底疯狂
3.144,2023-08-11 19:29:38,1381286471310683136,6b9baade,#FFFFFF,5,25,开幕雷击
3.148,2023-08-13 21:21:30,1382792325180276736,fa5b5cbd,#FFFFFF,1,25,开幕雷击
3.185,2023-09-23 01:13:12,1411899973200844032,1195fb36,#FFFFFF,1,25,最喜欢的一集
3.241,2023-08-12 00:29:46,1381437530754349568,fb7a4121,#FFFFFF,1,25,为什么要演奏春日影！
3.259,2023-08-19 06:13:10,1386683798779159040,22128334,#E70012,5,25,再放送
3.262,2023-08-12 19:39:34,1382016240243397376,027c520f,#FFFFFF,1,25,迫不及待
3.264,2023-08-12 00:51:24,1381448417918011392,282b0e42,#FFFFFF,1,25,急了
3.352,2023-08-11 19:04:54,1381274020560955136,31fa7b02,#FFFFFF,1,25,开幕雷击
3.384,2023-08-11 21:04:40,1381334300217410560,195099ef,#E2027F,5,25,直奔主题
3.384,2023-08-12 14:30:40,1381860766076316672,6574991d,#927939,1,25,最喜欢的一集啊！
3.388,2023-08-11 19:30:14,1381286771748461312,590cdbb4,#FFD302,5,25,空降：20:28
3.425,2023-08-15 03:35:18,1383705235864116992,d025516e,#FFFFFF,1,25,好好好
3.425,2023-08-15 03:35:29,1383705329061243904,d025516e,#FFFFFF,5,25,开幕雷击
3.425,2023-08-15 03:35:37,1383705395985464576,d025516e,#FFFFFF,5,25,直奔主题
3.425,2023-08-15 03:35:48,1383705487815876352,d025516e,#FFFFFF,5,25,迫不及待
3.434,2023-08-11 19:02:41,1381272906537324544,e547482d,#FFFFFF,1,25,挺王
3.459,2023-09-22 22:42:55,1411824334162483712,a75c170c,#FFFFFF,1,25,なんで春日影やったの
3.479,2023-08-14 10:08:03,1383178144684627456,3ed7c618,#FFFFFF,1,25,开幕雷击
3.539,2023-08-11 19:26:27,1381284863357187584,a775d92c,#FFFFFF,1,25,为什么要演奏春日影！
3.554,2023-09-24 14:34:38,1413028118092178176,8b383e1a,#CC0273,5,25,为什么要演奏春日影
3.557,2023-08-12 10:20:54,1381735054312875776,bf9f8221,#FFFFFF,1,25,再放送
3.763,2023-08-11 19:22:49,1381283035949222144,9b9f50ed,#FEF102,1,25,过场动画
3.764,2023-08-11 21:12:03,1381338014919675648,5906b07b,#FFFFFF,1,25,合影
3.788,2023-08-11 19:33:43,1381288520647219968,134c200f,#FFFFFF,5,25,传世经典
3.888,2023-08-11 22:00:30,1381362398186705920,80c614ec,#FFFFFF,1,25,开幕雷击
3.902,2023-08-11 19:20:28,1381281852106490880,9928a558,#FFFFFF,5,25,哈哈哈哈笑死我了
3.922,2023-09-30 16:10:09,1417424849697020416,45295030,#FFFFFF,1,25,再放送
3.931,2023-10-01 01:56:57,1417720200002038016,e971d0ca,#FE0302,5,25,我诠释你的梦！
4.089,2023-08-14 16:40:43,1383375776237418496,78a3dfad,#FFFFFF,5,25,再    放    送
4.13,2023-08-18 22:08:51,1386440031123644160,dcb27376,#FFFF00,5,25,开幕雷击
4.198,2023-09-29 23:28:31,1416920715101340416,eaf238a1,#FFFFFF,1,25,夺冠时刻
4.243,2023-08-16 12:17:41,1384692940148256256,12f39d38,#E70012,5,25,开幕雷击
4.411,2023-08-15 09:55:10,1383896435317521408,923e9420,#FFFFFF,5,25,再 放 送
4.434,2023-08-15 14:34:40,1384037109345700608,fc81ab6c,#FFFFFF,1,25,最喜欢的一集
4.469,2023-09-27 11:18:35,1415103769670368768,bee64a5e,#FFFFFF,1,25,开幕雷击
4.536,2023-08-12 21:19:17,1382066436247215616,19bbb3f3,#FFFF00,1,25,为什么要演奏春日影！
4.588,2023-09-22 22:05:44,1411805612928608768,14cf476c,#FFFFFF,1,25,可爱捏
4.625,2023-08-13 00:43:51,1382169392988685312,db5ce5b1,#FFFFFF,5,25,直抒胸臆 酣畅淋漓
4.642,2023-08-13 23:46:00,1382865053992462592,62c930e2,#FFFFFF,1,25,再 放 送
4.67,2023-08-11 22:01:13,1381362765817779200,1f3950cd,#E70012,5,25,为什么要把soyo女士的迫害素材再放送
4.677,2023-09-23 11:20:30,1412205638565886976,945545bf,#FFFFFF,1,25,干嘛呀大家都这么开心你突然发火好煞风景（狗头）
4.702,2023-09-28 15:08:42,1415944373488631296,e4b38b5d,#FFFFFF,1,25,哈？
4.705,2023-08-15 03:36:05,1383705636294207744,d025516e,#FFFFFF,5,25,最喜欢的一集
4.726,2023-08-12 13:19:49,1381825108133427968,f526a266,#FFFFFF,1,25,合影
4.738,2023-08-13 08:05:30,1382391684557703424,1b98b371,#FFFFFF,1,25,哈？
4.745,2023-08-14 19:35:53,1383463943250457088,5ce9ea3e,#FEF102,5,25,上集彩蛋不细说一下吗(doge
4.765,2023-08-11 19:20:38,1381281935699137792,024eb53f,#FEF102,1,25,传 世 经 典
4.819,2023-08-11 20:28:03,1381315867081508096,9d179a2a,#FFFFFF,5,25,为什么要演奏春日影！！
4.839,2023-08-12 00:41:45,1381443558648742400,b01c37f9,#FFFFFF,1,25,最喜欢的一集
4.875,2023-09-22 23:23:26,1411844723681034752,e4da85c7,#FFFFFF,1,25,为什么要演奏春日影！
4.876,2023-08-11 19:18:08,1381280683330153728,955c4d9b,#FFFFFF,1,25,就要看这个，就要看这个
4.884,2023-08-11 19:03:44,1381273435891936512,91297508,#FFFFFF,1,25,开幕雷击
4.961,2023-09-30 17:11:58,1417455963119900928,11a9d6d9,#FFFFFF,5,25,再次合影
4.966,2023-08-12 20:31:19,1382042288716675072,4bcf4fd5,#FFFFFF,1,25,最喜欢的一集
5.008,2023-08-13 23:23:23,1382853671196478208,d47d6ebc,#FFFFFF,1,25,开幕雷击
5.01,2023-09-25 19:54:55,1413914097485083904,40d7e3ae,#FFFFFF,5,25,再放送
5.033,2023-08-12 18:38:03,1381985283536717312,4c17c571,#FFFFFF,1,25,为什么要演奏春日影！
5.105,2023-09-24 06:28:00,1412783191189689344,5e75e482,#FFFFFF,1,25,开幕雷击
5.219,2023-09-25 16:11:46,1413801786296683776,37e0ad46,#FFFFFF,1,25,再放送哈哈哈
5.259,2023-10-01 20:38:21,1418284616334603008,3094e226,#E70012,5,25,艺术品
5.319,2023-08-12 20:22:28,1382037837016244224,279bb123,#FFFFFF,1,25,开幕雷击哈哈哈哈哈
5.488,2023-08-13 21:36:16,1382799755641737472,c2fb8eb2,#FFFFFF,1,25,爱音吓了一跳
5.492,2023-09-30 20:09:10,1417545153073202432,6cb81373,#FFFFFF,1,25,终于来了！我先乐
5.79,2023-08-11 19:24:10,1381283716005096448,590cdbb4,#FFFFFF,1,25,啊？
5.819,2023-08-12 19:28:18,1382010570986993664,96b8439a,#FFFFFF,1,25,再放送
5.945,2023-08-11 23:29:17,1381407086491377664,083c2287,#FFFFFF,1,25,开幕雷击
6.022,2023-09-23 00:37:01,1411881759704025088,d9cd801b,#FFFFFF,1,25,最吓人的一集！
6.025,2023-09-24 22:58:53,1413281922054271744,afbcad88,#FFFFFF,1,25,开 幕 雷 击
6.039,2023-08-12 13:17:04,1381823725816603648,6ff2bad8,#FFFFFF,5,25,为什么要演奏春日影！！
6.065,2023-08-11 20:00:45,1381302132959169024,28b14941,#FFFFFF,1,25,泪目
6.099,2023-08-18 00:04:16,1385773350839928320,b74ca336,#FFFFFF,1,25,再放送
6.119,2023-08-12 21:09:41,1382061596691713792,cf3e41a1,#FFFFFF,1,25,名场面
6.202,2023-08-13 10:55:47,1382477394019252224,aebcaaa6,#FFFFFF,1,25,这里爱音的动作抽了一下www
6.204,2023-10-01 19:22:50,1418246611015884032,9edf9469,#FFFFFF,1,25,soyo终于扯下了面具
6.358,2023-09-23 15:20:22,1412326366380438272,d4d31045,#FFFFFF,1,25,kksk
6.384,2023-08-12 20:26:44,1382039983879398400,43e5f4df,#FFFFFF,1,25,\
6.817,2023-08-11 23:36:52,1381410908693474048,a9180e1d,#FFFFFF,1,25,哈哈哈哈哈
6.974,2023-08-11 23:04:18,1381394511011711744,ea1fb112,#FFFFFF,1,25,直奔主题
7.023,2023-08-11 19:20:47,1381282010769122816,a3638e78,#FFFFFF,1,25,直奔现场
7.059,2023-08-11 20:56:52,1381330377150489856,55dc9cd0,#FFFFFF,1,25,名场面合影
7.166,2023-08-12 19:41:20,1382017135198491648,47c043f4,#FFFFFF,1,25,哈哈哈
7.423,2023-09-30 00:21:11,1416947216920174336,b1a4d14b,#FFFFFF,1,25,哈？
7.455,2023-09-23 19:25:09,1412449565126448128,7b2eb8f4,#FFFFFF,1,25,开幕雷击
7.698,2023-09-30 13:41:30,1417350030595362048,fd3900e3,#FFFFFF,1,25,立希抓住手臂，证明也有点紧张
7.891,2023-08-13 01:44:25,1382199876359906560,71c9107e,#FE0302,5,25,前面就有提到过，练习环节立希说练习春日影soyo直接变脸，第二次立希提出要演奏春日影时soyo才说可以拿来练习
7.96,2023-08-12 13:27:25,1381828938162211584,0cc33d63,#FFFF00,1,25,参见挺王
8.06,2023-08-11 20:02:14,1381302878672813312,195099ef,#FFFFFF,1,25,直奔主题
8.346,2023-09-23 19:59:58,1412467092250182144,41dd7cdf,#FFFFFF,1,25,只有爱音会被soyo吓到
8.518,2023-09-24 00:56:16,1412616221702327296,8fbf441b,#FFFFFF,1,25,汝为何会弹奏我的长河吟！
8.737,2023-09-23 13:40:31,1412276110825293056,1278e763,#FFFFFF,1,25,迫不及待！
8.875,2023-08-13 23:43:28,1382863779108703744,e3dc1441,#FFFFFF,1,25,最喜欢的一集
9.167,2023-08-12 10:28:00,1381738630778994176,bd676e2f,#FFFFFF,1,25,草
9.235,2023-08-11 20:20:03,1381311846170396416,294f3e58,#00A0EA,1,25,直接吼人，收效甚微
9.251,2023-09-29 18:30:34,1416770752560415744,562c2f24,#FFFFFF,1,25,开幕雷击
9.259,2023-08-12 00:45:19,1381445357871245312,b2787261,#FFFFFF,1,25,夾不住了
9.36,2023-08-12 13:15:05,1381822729376003584,efb136b9,#FFFFFF,1,25,来了！
9.496,2023-08-14 13:08:48,1383269118207218176,a7a7aff6,#FFFFFF,1,25,无所谓，回旋镖会在第九集出手
9.518,2023-09-23 19:41:23,1412457736947585536,995e2fd6,#FFFFFF,1,25,确实没说过
9.525,2023-09-25 15:12:40,1413772040896572672,9cba3e91,#FFFFFF,1,25,最喜欢的一集
9.535,2023-08-15 16:43:12,1384101799925159424,f399074f,#FFFFFF,1,25,常看常新
9.66,2023-09-30 20:10:33,1417545847725708544,cdc4de01,#FFFFFF,1,25,特林顿综合征
9.767,2023-08-12 14:16:39,1381853710619014400,3bb42aa7,#FFFFFF,1,25,直奔主题
10.024,2023-08-12 10:10:51,1381729998306005504,9cddf3bb,#FFFFFF,5,25,第一刀
10.059,2023-09-30 01:34:04,1416983906183561472,fb1d4e26,#FFFFFF,1,25,开幕雷击
10.244,2023-09-29 03:14:52,1416309864577421568,e28f2596,#FFFFFF,1,25,再放送
10.541,2023-09-30 21:21:02,1417581321336666368,c41b25a9,#FFFFFF,1,25,直奔主题
10.712,2023-09-28 23:36:03,1416199726717870848,a5423847,#FFFFFF,1,25,就弹就弹
10.917,2023-09-26 21:27:44,1414685591320502016,606a78e0,#FFFFFF,1,25,确实没说过
11.198,2023-08-14 22:43:15,1383558248669590272,41d4104a,#FFFFFF,1,25,积压的情绪终于在此刻爆发！
11.983,2023-09-23 07:45:45,1412097545697750528,2f9d6007,#FFFFFF,1,25,直接被呛回去了 素世还是太懂事了 不会骂人
12.004,2023-08-13 00:19:02,1382156905161521920,115653e6,#FFFFFF,1,25,猫猫：你们乐队还会第三首曲子？
12.44,2023-08-15 15:44:51,1384072434386727936,3098eee6,#FFFFFF,1,25,不会弹别的曲子唱小星星也行啊
12.546,2023-08-19 02:09:51,1386561332308007936,1d2fb0da,#FFFFFF,1,25,真没说过
12.568,2023-09-24 12:42:26,1412971648356960256,34f0393b,#FFFFFF,1,25,能看出来这里立希也怂了，手臂是防御型姿势，和祥子退团时一个姿势
12.733,2023-08-11 22:48:48,1381386714655938560,534efd15,#FFFFFF,1,25,只有爱音叫了soyo，结果soyo最不在意爱音……
12.924,2023-08-12 10:30:45,1381740015394456576,ad120c38,#FFFFFF,1,25,最害怕的一集
13.155,2023-09-23 20:34:51,1412484647853534976,a1cea1f7,#FFFFFF,1,25,直奔主题
13.559,2023-08-11 20:20:31,1381312079944141312,294f3e58,#00A0EA,1,25,转变策略，动之以情
13.712,2023-08-16 01:26:31,1384365192812470016,5c2a6fc3,#FFFFFF,1,25,乐队演出成功重要还是你的祥子重要阿，你行不行阿
13.824,2023-08-12 08:55:43,1381692179935754240,31844978,#FFFFFF,1,25,大的要来了
13.967,2023-09-23 21:52:28,1412523710531024384,bd231995,#FFFFFF,1,25,确实没说过哈哈哈
14.715,2023-08-11 19:38:38,1381290993886087424,9662154c,#FFFFFF,1,25,立希：无关心
14.819,2023-08-13 23:09:55,1382846890399585792,b74d20ec,#FFFFFF,1,25,猫猫：你们还会其他的吗？
14.935,2023-08-19 22:52:07,1411716564289811712,d1125189,#FFFFFF,1,25,祥子，何时来的
14.962,2023-08-11 20:49:54,1381326870091794432,37f90e03,#E70012,1,25,立希牌回旋镖
15.316,2023-09-29 18:30:40,1416770803126561024,562c2f24,#FFFFFF,1,25,开幕雷击
15.57,2023-10-01 00:41:39,1417682297771124224,f72b1762,#FFFFFF,1,25,圣爱音闷声打出伤害！
15.697,2023-09-23 16:27:33,1412360174802616064,ef4e4e90,#FFFFFF,5,25,祥子，何时来的
15.788,2023-08-11 20:31:15,1381317479372233728,5ce9ea3e,#E70012,5,25,《她在吗》
16.077,2023-09-26 11:45:44,1414392663486211584,4a810e66,#FEF102,5,25,祥子？何时来的
16.105,2023-08-12 10:11:07,1381730133832059648,9cddf3bb,#FFFFFF,5,25,第二刀
16.15,2023-08-12 10:19:58,1381734585641467136,f6d444e7,#FFFFFF,1,25,怼她
16.46,2023-09-30 13:33:06,1417345806721312768,fc2c55f7,#FFFFFF,1,25,立希真的一点不惯着啊
16.545,2023-09-23 14:39:06,1412305595482349312,137363cc,#FFFFFF,1,25,她在吗（
16.611,2023-08-11 20:23:07,1381313387509670656,294f3e58,#FFFFFF,1,25,这里soyo的视线转移好比道德绑架的扫射转移
16.998,2023-09-25 23:21:13,1414017934384548864,8b383e1a,#CC0273,5,25,《她在吗》
17.272,2023-10-01 14:52:04,1418110325773156608,a1615769,#FFFFFF,1,25,她在吗？
17.382,2023-09-26 23:55:54,1414760168335388416,8bdd6dbc,#FFFFFF,1,25,最喜欢的一集
17.715,2023-08-11 20:21:02,1381312335167454464,294f3e58,#00A0EA,1,25,初见成效，乘胜追击
17.812,2023-08-15 14:28:26,1384033974011158784,8972cb93,#FFFFFF,1,25,她在吗”
17.857,2023-09-24 21:48:02,1413246255798161920,3fd0b430,#FFFFFF,5,25,伤害确实挺大的把人直接干成重金属摇滚乐队了
18.243,2023-08-14 19:16:58,1383454421769387008,6d472787,#FFFFFF,1,25,你知道一首春日影会对着祥子造成多大的心理伤害吗？她还只是个孩子呀！
18.268,2023-10-01 17:27:21,1418188484086262784,9b204d63,#FFFFFF,1,25,祥子？何时来的？
19.137,2023-08-11 21:01:48,1381332860690102016,4da0b4dd,#FFFFFF,1,25,重温经典
19.373,2023-08-17 10:49:57,1385373558682973952,5c10eb3d,#FFFFFF,1,25,对于一个十来岁的孩子 一个大春日影得有多大的心里伤害（嗷呜）
19.716,2023-09-28 15:45:07,1415962700642620416,2e9f328d,#FFFFFF,1,25,爆了爆了
19.749,2023-08-12 01:09:12,1381457375348969984,1049443c,#FFFFFF,1,25,你必须先攻击具有嘲讽的随从
19.781,2023-08-12 13:51:33,1381841084044766720,c05ece0e,#FFFFFF,1,25,你知道这对一个八岁的祥子造成多大的心理伤害吗
19.894,2023-09-22 20:01:13,1411742949028662272,a302ad19,#FFFFFF,1,25,太过分了！！！
20.059,2023-08-12 12:08:28,1381789195152094208,f1088d0c,#FFFFFF,5,25,第九集你就知道会怎么样了，taki酱（）
20.099,2023-09-24 00:12:11,1412594036367313152,6e175803,#FFFFFF,1,25,立希说的道理～
20.123,2023-08-14 20:27:35,1383489962489490176,0377604f,#FFFFFF,1,25,《她在吗？》
20.377,2023-08-19 13:30:30,1386903917698422272,efacda3e,#FFFFFF,1,25,一针见血的，客观的，正确的
20.54,2023-08-12 10:28:33,1381738907007444480,bd676e2f,#FFFFFF,1,25,論一首春日影 造成孩子的傷害
20.627,2023-08-13 22:40:39,1382832159030960896,c1869e12,#FF7204,5,25,立希：春日影写的明明是我，关她什么事
20.659,2023-08-12 16:57:24,1381934617980245504,c7e9a9ad,#FFFFFF,1,25,小心回旋镖
20.846,2023-09-28 00:49:25,1415511877890374144,f7eb1b82,#FFFFFF,1,25,明明是猫猫开的团（
20.905,2023-08-12 10:11:21,1381730247531518720,9cddf3bb,#FFFFFF,5,25,第三刀
21.052,2023-09-23 01:55:29,1411921256164422912,6c6fa6c1,#FFFFFF,1,25,不装了的soyo桑真是太可爱了呢
21.147,2023-09-25 23:21:23,1414018018664784128,8b383e1a,#CC0273,5,25,你知道一首春日影会对着祥子造成多大的心理伤害吗？她还只是个孩子呀！
21.319,2023-09-26 22:14:00,1414708877517214720,9c147b86,#FFFFFF,1,25,那又怎样！
21.336,2023-08-14 08:08:01,1383117728378220032,cb6717c8,#FFFFFF,1,25,我的回旋镖回来辣
21.694,2023-08-13 17:12:02,1382666763136736512,f0a35712,#FFFFFF,1,25,我不道啊
21.767,2023-08-12 17:15:25,1381943689672497664,36314d2b,#FFFFFF,1,25,那又怎样
21.92,2023-08-17 01:32:00,1385092730442872064,955c4d9b,#FFFFFF,1,25,さきこには関係ないでしょ？
22.0,2023-09-27 00:30:00,1414777330798323200,1195fb36,#FFFFFF,1,25,立希：春日影写的明明是我，关她什么事
22.249,2023-08-12 14:17:12,1381853987980094464,48c242aa,#FFFFFF,1,25,立希！说得好！
22.299,2023-09-24 10:47:43,1412913907370044160,0201fec6,#FFFFFF,1,25,立希唯一人话
22.3,2023-08-11 19:06:03,1381274596304529152,0f2330d7,#FFFFFF,1,25,啊啊啊啊啊
22.339,2023-09-23 00:34:51,1411880672221467648,ac8c395c,#FFFFFF,1,25,说话的艺术
22.739,2023-08-12 20:26:53,1382040054394172672,f14a7dbd,#FFFFFF,1,25,说得好
22.977,2023-08-12 06:57:09,1381632502472442624,994663f0,#E70012,5,25,第九集回旋镖就砸你头上
23.035,2023-08-12 14:48:30,1381869742893474560,3176e11e,#00A0EA,1,25,记住现在的立希女士，下集破大防(樂)
23.244,2023-08-13 23:07:47,1382845814929649152,4f3bb3ac,#FFFFFF,1,25,确实
23.435,2023-08-12 01:02:43,1381454113497639936,67246a03,#FFFFFF,1,25,立希平等的输出每一个人
23.474,2023-08-13 23:37:20,1382860692092458496,fe5b9dd6,#FFFFFF,1,25,立希：春日影写的明明是我，关祥子什么事
23.508,2023-08-15 17:29:16,1384124985475365888,659c9322,#FEF102,5,25,立希还在输出！
23.536,2023-08-13 22:14:00,1382818745872901376,cdd5ce15,#FFFFFF,1,25,已经结束啦！
23.539,2023-08-19 21:29:55,1411716561790006528,eb3a05ab,#FFFFFF,1,25,riiki:不要输在不会表达上
23.666,2023-08-14 16:08:22,1383359495627178240,230bb034,#FFFFFF,1,25,立希：跟小祥没关系的吧
23.688,2023-09-26 02:28:23,1414112140549445888,7c171db9,#FEF102,5,25,说白了，当初解散大家对于缘由就是各有各的意见，又不说
23.766,2023-09-30 11:22:32,1417280089468613376,9bfcfc57,#E70012,5,25,立希：哭你娘亲，写的我，她哭个鸟
23.819,2023-08-18 20:43:19,1386396985803717376,456d80b0,#FFFFFF,1,25,说得好
23.833,2023-09-24 16:02:10,1413072180454946560,03c427fe,#FFFFFF,1,25,不是，这歌是人家写的，而且也是以前的队友啊……
